5,"48岡",
6,"6糸","29岡","48岡",
7,"7福","19新","37高","44岡","50福","58岡",
8,"12倉","17糸","25岡","30三","35岡","50岡",
9,"4新","25岡","34岡"","40岡",
10,"3福","26岡","34岡","51三",
11,"12新","29岡","34岡","58福",
12,"13岡","26岡","34岡","57高",
13,"2岡","27高","33岡","52金","57岡",
14,"31高","35岡","58糸",
15,"5岡","27三","32岡","54府","59新",
16,"27高","33岡","52岡","59岡",
17,"25岡","36高",
18,"0岡","4糸","23岡","35新","51岡","58岡",
19,"16岡","34三","44岡","54糸",
20,"6岡","14岡","26岡","32岡",
21,"4岡","9岡","34岡","40岡","56岡",
22,"1岡","38岡",
23,"5岡"","26岡",
