5,
6,"18姫","34吉","53瀬",
7,"11姫","30万","47相",
8,"13相","22和",
9,"22相","36瀬",
10,"15相","51瀬",
11,"16相","46瀬",
12,"17相","58瀬",
13,"14相","45瀬",
14,"15相","48和",
15,"14相","45相",
16,"16相","48姫",
17,"13姫","38吉",
18,"6姫","37石",
19,"8和","20姫",
20,"2姫","32姫","54瀬",
21,"13姫","53姫",
22,"25石",
23,"4石",
